director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
James Marsh,Paul McGill,Jean-Louis Blondeau,Jean-Louis Blondeau,Biography Crime Documentary History Thriller,man on wire
John Laing,Siobhan Marshall,Rachel Nash,Rachel Nash,Drama,abandoned
Jamal Hill,Logan Browning,Faizon Love,Faizon Love,Drama,brotherly love
Daniel Stamm,Caleb Landry Jones,Patrick Fabian,Patrick Fabian,Drama Horror Thriller,the last exorcism
Sam Taylor-Johnson,Kristin Scott Thomas,Anne-Marie Duff,Anne-Marie Duff,Biography Drama Music,nowhere boy
Elia Kazan,Marlon Brando,Kim Hunter,Kim Hunter,Drama,a streetcar named desire
Stanley Kubrick,George C. Scott,Keenan Wynn,Keenan Wynn,Comedy,dr. strangelove or: how i learned to stop worrying and love the bomb
Carlos Carrera,Damián Alcázar,Pedro Armendáriz Jr.,Pedro Armendáriz Jr.,Drama Romance,el crimen del padre amaro
Benh Zeitlin,Quvenzhané Wallis,Dwight Henry,Dwight Henry,Drama Fantasy,beasts of the southern wild
J. Lee Thompson,Roddy McDowall,Claude Akins,Claude Akins,Action Sci-Fi,battle for the planet of the apes
Maggie Greenwald,Aidan Quinn,Jane Adams,Jane Adams,Drama Music,songcatcher
Vera Farmiga,Donna Murphy,Michael Chernus,Michael Chernus,Drama,higher ground
Vijay Chandar,Hansika Motwani,Brahmanandam,Brahmanandam,Comedy Romance,vaalu
Morgan Spurlock,Quentin Tarantino,Donald Trump,Donald Trump,Comedy Documentary,the greatest movie ever sold
Jonathan Wacks,Steve Buscemi,Jon Gries,Jon Gries,Comedy Horror,ed and his dead mother
Khyentse Norbu,Tshewang Dendup,Sonam Kinga,Sonam Kinga,Adventure Drama,travelers and magicians
Ted Post,Clint Eastwood,Alan Hale Jr.,Alan Hale Jr.,Western,hang 'em high
Richard Brooks,Humphrey Bogart,Kim Hunter,Kim Hunter,Crime Drama Film-Noir,deadline - u.s.a.
Tony Krantz,George Newbern,Cas Anvar,Cas Anvar,Horror Thriller,sublime
Mitchell Altieri,Kimberley Crossman,Bree Williamson,Bree Williamson,Comedy Horror Thriller,a beginner's guide to snuff
W.D. Hogan,Tom Everett Scott,Nicholas Carella,Nicholas Carella,Action Sci-Fi,independence daysaster
Corey Grant,Christian Keyes,Tatyana Ali,Tatyana Ali,Comedy Drama,dysfunctional friends
Tom Tykwer,Moritz Bleibtreu,Armin Rohde,Armin Rohde,Crime Drama,run lola run
Lucky McKee,James Duval,Nora Zehetner,Nora Zehetner,Drama Horror,may
Richard Boddington,Natasha Henstridge,Erin Pitt,Erin Pitt,Adventure Family,against the wild
David Hunt,Matthew Alan,Circus-Szalewski,Circus-Szalewski,Horror,living dark: the story of ted the caver
Patricia Riggen,America Ferrera,Kate del Castillo,Kate del Castillo,Adventure Drama,under the same moon
J. Lee Thompson,Roddy McDowall,John Randolph,John Randolph,Action Sci-Fi,conquest of the planet of the apes
Todd Field,Tom Wilkinson,Karen Allen,Karen Allen,Crime Drama,in the bedroom
Steven R. Monroe,Sarah Butler,Daniel Franzese,Daniel Franzese,Horror Thriller,i spit on your grave
Mark Illsley,Ally Walker,Jeremy Northam,Jeremy Northam,Comedy Crime Romance,"happy, texas"
Pawel Pawlikowski,Paddy Considine,Dean Andrews,Dean Andrews,Drama Romance,my summer of love
Ritesh Batra,Nawazuddin Siddiqui,Lillete Dubey,Lillete Dubey,Drama Romance,the lunchbox
Sally Potter,Shirley Henderson,Stephanie Leonidas,Stephanie Leonidas,Drama Romance,yes
Frank Capra,Jean Arthur,Lionel Barrymore,Lionel Barrymore,Comedy Drama Romance,you can't take it with you
Fred Zinnemann,Montgomery Clift,Deborah Kerr,Deborah Kerr,Drama Romance War,from here to eternity
John Ford,Harry Carey Jr.,Victor McLaglen,Victor McLaglen,Western,she wore a yellow ribbon
Brad J. Silverman,Shawnee Smith,Anthony Reynolds,Anthony Reynolds,Drama Music,grace unplugged
Dave Meyers,Eddie Griffin,Marla Gibbs,Marla Gibbs,Comedy Drama,foolish
David M. Matthews,Essence Atkins,Tempestt Bledsoe,Tempestt Bledsoe,Crime Drama Thriller,n-secure
Nadine Labaki,Yasmine Al Massri,Nadine Labaki,Nadine Labaki,Comedy Drama Romance,caramel
Lluís Quílez,Stephen Rea,Alejandro Furth,Alejandro Furth,Horror Thriller,out of the dark
Eytan Fox,Ohad Knoller,Yousef 'Joe' Sweid,Yousef 'Joe' Sweid,Comedy Drama Romance,the bubble
Francis Ford Coppola,Harrison Ford,Cindy Williams,Cindy Williams,Drama Mystery Thriller,the conversation
Romesh Sharma,Annabelle Wallis,Bhoomika Chawla,Bhoomika Chawla,Romance,dil jo bhi kahey...
François Truffaut,Catherine Deneuve,Michel Bouquet,Michel Bouquet,Crime Drama Romance,mississippi mermaid
Adam Goldberg,Judy Greer,Nicky Katt,Nicky Katt,Drama Mystery,i love your work
Travis Zariwny,Dustin Ingram,Samuel Davis,Samuel Davis,Horror,cabin fever
Zack Snyder,Ty Burrell,Mekhi Phifer,Mekhi Phifer,Action Horror Thriller,dawn of the dead
Adrienne Shelly,Lew Temple,Eddie Jemison,Eddie Jemison,Comedy Drama Romance,waitress
Newt Arnold,Bolo Yeung,Ken Siu,Ken Siu,Action Biography Drama Sport,bloodsport
Frank Capra,Claude Rains,Thomas Mitchell,Thomas Mitchell,Comedy Drama,mr. smith goes to washington
Larry Clark,Rosario Dawson,Justin Pierce,Justin Pierce,Drama,kids
Noah Baumbach,William Baldwin,Owen Kline,Owen Kline,Comedy Drama,the squid and the whale
Charles Herman-Wurmfeld,Scott Cohen,Brian Stepanek,Brian Stepanek,Comedy Drama Romance,kissing jessica stein
Yimou Zhang,Honglei Sun,Dahong Ni,Dahong Ni,Comedy Drama,"a woman, a gun and a noodle shop"
John Stockwell,Matthew Ziff,Sam Medina,Sam Medina,Action,kickboxer: vengeance
Alfred Hitchcock,Norman Lloyd,Leo G. Carroll,Leo G. Carroll,Film-Noir Mystery Romance Thriller,spellbound
Atom Egoyan,Bruce Greenwood,Sarah Polley,Sarah Polley,Drama Mystery Romance,exotica
Vincent Gallo,Anjelica Huston,Jan-Michael Vincent,Jan-Michael Vincent,Comedy Crime Drama Romance,buffalo '66
James Wan,Lin Shaye,Philip Friedman,Philip Friedman,Fantasy Horror Mystery Thriller,insidious
Alex Cox,Del Zamora,Miguel Sandoval,Miguel Sandoval,Comedy Crime Sci-Fi Thriller,repo man
Fabián Bielinsky,Ricardo Darín,Leticia Brédice,Leticia Brédice,Crime Drama Thriller,nine queens
Dror Moreh,Ami Ayalon,Yaakov Peri,Yaakov Peri,Documentary War,the gatekeepers
Rebecca Miller,Beau Bridges,Ryan McDonald,Ryan McDonald,Drama,the ballad of jack and rose
Maggie Carey,Donald Glover,Scott Porter,Scott Porter,Comedy Romance,the to do list
Roger Avary,Eric Stoltz,Jean-Hugues Anglade,Jean-Hugues Anglade,Crime Drama Thriller,killing zoe
Henry Bean,Ryan Gosling,Summer Phoenix,Summer Phoenix,Drama,the believer
David Gordon Green,Michael Angarano,Tom Noonan,Tom Noonan,Drama Romance,snow angels
Simeon Rice,Ward G. Smith,Malone Thomas,Malone Thomas,Action Horror Thriller,unsullied
Brad Anderson,Paul Guilfoyle,Larry Fessenden,Larry Fessenden,Horror Mystery,session 9
Jeff Garlin,Jessy Schram,Joey Slotnick,Joey Slotnick,Comedy Romance,i want someone to eat cheese with
Qasim Basir,Dorian Missick,Evan Ross,Evan Ross,Drama Family,mooz-lum
Adam Green,Joel David Moore,Joel Murray,Joel Murray,Comedy Horror,hatchet
Charles Chaplin,Paulette Goddard,Fred Malatesta,Fred Malatesta,Comedy Drama Family,modern times
Pete Jones,Brian Dennehy,Bonnie Hunt,Bonnie Hunt,Drama,stolen summer
Bruce Campbell,Ted Raimi,Timothy Patrick Quill,Timothy Patrick Quill,Comedy Fantasy,my name is bruce
Mark Brown,Vivica A. Fox,Garrett Morris,Garrett Morris,Comedy Drama,the salon
Adam Carolla,Jay Mohr,David Alan Grier,David Alan Grier,Comedy,road hard
Ira Sachs,Rip Torn,Darren E. Burrows,Darren E. Burrows,Drama Music Romance,forty shades of blue
John Sayles,Brian Lee Franklin,Ronnie Lazaro,Ronnie Lazaro,Drama War,amigo
Bruce McDonald,Stephen McHattie,Boyd Banks,Boyd Banks,Fantasy Horror,pontypool
James Mottern,Jimmy Bennett,Matthew Lawrence,Matthew Lawrence,Drama,trucker
Jaime Zevallos,Angela Sarafyan,Michael Elian,Michael Elian,Comedy Drama Romance,me you and five bucks
Rob Zombie,Sid Haig,Michael Berryman,Michael Berryman,Drama Fantasy Horror Thriller,the lords of salem
Gerard Johnstone,Morgana O'Reilly,Cameron Rhodes,Cameron Rhodes,Comedy Horror Mystery,housebound
Robert Greenwald,Lee Scott,Matt Hunter,Matt Hunter,Documentary,wal-mart: the high cost of low price
David Ray,Nicole Muñoz,Kyla Wise,Kyla Wise,Drama Fantasy Romance,fetching cody
Dave Rodriguez,Chazz Palminteri,Paul Sorvino,Paul Sorvino,Comedy Drama,once upon a time in queens
Nae Caranfil,Monica Barladeanu,Martin Hancock,Martin Hancock,Comedy Drama,closer to the moon
David Winning,Ashanti,John DeSantis,John DeSantis,Sci-Fi,mutant world
Frank Lotito,Brighton Sharbino,Tim Guinee,Tim Guinee,Comedy Drama Family,growing up smith
Timothy Woodward Jr.,Katrina Law,Michael Paré,Michael Paré,Action Crime Thriller,checkmate
Christopher McQuarrie,Tom Cruise,David Oyelowo,David Oyelowo,Action Crime Mystery Thriller,jack reacher
Tara Subkoff,Timothy Hutton,Lydia Hearst,Lydia Hearst,Drama Horror Mystery Thriller,#horror
Russell Friedenberg,Rudy Youngblood,Kiowa Gordon,Kiowa Gordon,Action Horror Thriller,wind walkers
William Cottrell,Adriana Caselotti,Lucille La Verne,Lucille La Verne,Animation Family Fantasy Musical,snow white and the seven dwarfs
Lucrecia Martel,Mía Maestro,María Alche,María Alche,Drama,the holy girl
Edward Dmytryk,Brigitte Bardot,Honor Blackman,Honor Blackman,Western,shalako
Zak Penn,Zak Penn,John Bailey,John Bailey,Adventure Comedy Horror,incident at loch ness
Alex Ranarivelo,Lea Thompson,Cullen Douglas,Cullen Douglas,Drama,the dog lover
Jon Knautz,Camren Bicondova,Chasty Ballesteros,Chasty Ballesteros,Horror Thriller,girl house
Mathieu Amalric,Mathieu Amalric,Laurent Poitrenaux,Laurent Poitrenaux,Crime Romance Thriller,the blue room
David Worth,Jessica Szohr,Angela Jones,Angela Jones,Horror Thriller,house at the end of the drive
Leslie H. Martinson,Burgess Meredith,Burt Ward,Burt Ward,Adventure Comedy Family,batman: the movie
Guy Ritchie,Jason Statham,Dexter Fletcher,Dexter Fletcher,Comedy Crime,"lock, stock and two smoking barrels"
Robert M. Young,Barry Corbin,Ned Beatty,Ned Beatty,Western,the ballad of gregorio cortez
unknown,Karl Malden,unknown,unknown,Action Crime Drama Mystery,the streets of san francisco            
Thomas Vinterberg,Ulrich Thomsen,Trine Dyrholm,Trine Dyrholm,Drama,the celebration
Steve Buscemi,Steve Buscemi,Carol Kane,Carol Kane,Comedy Drama,trees lounge
Ham Tran,Long Nguyen,Cat Ly,Cat Ly,Drama,journey from the fall
Rich Cowan,Eric Dane,Peter Coyote,Peter Coyote,Drama,the basket
Boris Rodriguez,Stephen McHattie,Georgina Reilly,Georgina Reilly,Comedy Horror,eddie: the sleepwalking cannibal
Harold Becker,Bruce Willis,Carrie Preston,Carrie Preston,Action Crime Drama Thriller,mercury rising
unknown,James Morrison,Kristen Cloke,Kristen Cloke,Drama Sci-Fi,space: above and beyond            
Sadyk Sher-Niyaz,Elina Abai Kyzy,Mirlan Abdulayev,Mirlan Abdulayev,Action Biography Drama History,queen of the mountains
Paul Donovan,Maury Chaykin,Tim Choate,Tim Choate,Action Sci-Fi,def-con 4
Jonathan Kesselman,Judy Greer,Tony Cox,Tony Cox,Comedy,the hebrew hammer
Arjun Sablok,Abhishek Bachchan,Samantha McLeod,Samantha McLeod,Comedy Musical Romance,neal 'n' nikki
Craig Moss,Noureen DeWulf,Matt Crabtree,Matt Crabtree,Comedy,the 41-year-old virgin who knocked up sarah marshall and felt superbad about it
Tyler Oliver,Bella Thorne,Christopher Atkins,Christopher Atkins,Horror Romance Thriller,forget me not
Alfred Hitchcock,Laurence Olivier,George Sanders,George Sanders,Drama Film-Noir Mystery Thriller,rebecca
Steve Miner,Betsy Palmer,Amy Steel,Amy Steel,Horror Mystery Thriller,friday the 13th part 2
Billy Wilder,Ray Milland,Frank Faylen,Frank Faylen,Drama Film-Noir,the lost weekend
Douglas Cheek,Daniel Stern,Sam McMurray,Sam McMurray,Horror Sci-Fi,c.h.u.d.
Youssef Delara,Noel Gugliemi,Jorge Diaz,Jorge Diaz,Drama Music,filly brown
Deryck Broom,Vic Mignogna,Anupam Kher,Anupam Kher,Animation,the lion of judah
Henry Hathaway,Joseph Cotten,Will Wright,Will Wright,Crime Film-Noir Thriller,niagara
John Ford,Roddy McDowall,Barry Fitzgerald,Barry Fitzgerald,Drama Family,how green was my valley
unknown,Mary Lynn Rajskub,Paul Sparks,Paul Sparks,Drama,the girlfriend experience            
Spike Lee,Rami Malek,Felicia Pearson,Felicia Pearson,Comedy Romance Thriller,da sweet blood of jesus
Steven Soderbergh,Peter Gallagher,Steven Brill,Steven Brill,Drama,"sex, lies, and videotape"
James Wan,Michael Emerson,Shawnee Smith,Shawnee Smith,Horror Mystery Thriller,saw
Jay Chandrasekhar,Geoffrey Arend,Jay Chandrasekhar,Jay Chandrasekhar,Comedy Crime Mystery,super troopers
Giovanni Zelko,Zuhair Haddad,Ben Youcef,Ben Youcef,Action Romance Thriller,the algerian
Claudia Sainte-Luce,Ximena Ayala,José Manuel Orozco Angulo,José Manuel Orozco Angulo,Comedy Drama,the amazing catfish
Scott Derrickson,Keanu Reeves,Juan Riedinger,Juan Riedinger,Drama Sci-Fi Thriller,the day the earth stood still
Mira Nair,Naseeruddin Shah,Lillete Dubey,Lillete Dubey,Comedy Drama Romance,monsoon wedding
Kenneth Lonergan,Matthew Broderick,Gaby Hoffmann,Gaby Hoffmann,Drama,you can count on me
Alfred Hitchcock,Jerry Mathers,Royal Dano,Royal Dano,Comedy Mystery Romance,the trouble with harry
Paul McGuigan,Bruce Willis,Dorian Missick,Dorian Missick,Crime Drama Mystery Thriller,lucky number slevin
Jamie Babbit,Natasha Lyonne,Eddie Cibrian,Eddie Cibrian,Comedy Drama,but i'm a cheerleader
David Boyd,Vivica A. Fox,Scott Elrod,Scott Elrod,Drama Sport,home run
Quentin Tarantino,Quentin Tarantino,Chris Penn,Chris Penn,Crime Drama Thriller,reservoir dogs
Walter Lang,Spring Byington,Gale Sondergaard,Gale Sondergaard,Drama Family Fantasy,the blue bird
Sergio Leone,Clint Eastwood,Enzo Petito,Enzo Petito,Western,"the good, the bad and the ugly"
Anna Muylaert,Alex Huszar,Luis Miranda,Luis Miranda,Comedy Drama,the second mother
Steve Taylor,Jason Marsden,Eric Lange,Eric Lange,Comedy Drama,blue like jazz
Kurt Voss,Lemmy,Zoë Poledouris,Zoë Poledouris,Comedy Music,down and out with the dolls
Léa Pool,unknown,unknown,unknown,Documentary,"pink ribbons, inc."
James David Pasternak,Robin Williams,Jonathan Winters,Jonathan Winters,Comedy Documentary,certifiably jonathan
Laurent Bouhnik,Déborah Révy,Yassine Azzouz,Yassine Azzouz,Drama,q
Tom Sanchez,Nataniel Sánchez,Juan Carlos Montoya,Juan Carlos Montoya,Comedy Drama,the knife of don juan
David Caffrey,Marley Shelton,Jim Cody Williams,Jim Cody Williams,Adventure Comedy Drama,grand theft parsons
Adam Jay Epstein,Rich Ceraulo,Vanessa Lee Chester,Vanessa Lee Chester,Comedy,extreme movie
Michael Curtiz,Errol Flynn,Spring Byington,Spring Byington,Action Adventure Romance War,the charge of the light brigade
Justin Thomas Ostensen,Michael Berryman,Michael Eisner,Michael Eisner,Thriller,below zero
Brenton Spencer,Christie Burke,Chelsey Reist,Chelsey Reist,Action Horror Mystery Thriller,crowsnest
Rob Bowman,Alanna Ubach,Brittney Powell,Brittney Powell,Adventure Comedy Sport,airborne
Ossie Davis,Redd Foxx,Calvin Lockhart,Calvin Lockhart,Action Comedy,cotton comes to harlem
Jay Alaimo,William McNamara,Patrick Muldoon,Patrick Muldoon,Horror,the wicked within
Dylan Bank,Seregon O'Dassey,Dustin Diamond,Dustin Diamond,Horror,bleeding hearts
Rob McKittrick,Ryan Reynolds,Vanessa Lengies,Vanessa Lengies,Comedy,waiting...
Shane Meadows,Paddy Considine,George Newton,George Newton,Crime Drama Thriller,dead man's shoes
unknown,Richard Cawthorne,Lucy Fry,Lucy Fry,Drama Horror Thriller,wolf creek            
Jeff Burr,Terry Kiser,Susan Tyrrell,Susan Tyrrell,Action Drama Horror Thriller,from a whisper to a scream
Harry Gantz,unknown,unknown,unknown,Documentary Drama,sex with strangers
Guy Maddin,Sarah Murphy-Dyson,Brent Neale,Brent Neale,Comedy Horror Musical,dracula: pages from a virgin's diary
Regardt van den Bergh,Sean Cameron Michael,Jeanne Neilson,Jeanne Neilson,Drama,faith like potatoes
Panos Cosmatos,Chris Gauthier,Eva Bourne,Eva Bourne,Sci-Fi Thriller,beyond the black rainbow
Gareth Evans,Iko Uwais,Donny Alamsyah,Donny Alamsyah,Action Crime Thriller,the raid: redemption
Matthew R. Anderson,Johnny Pacar,Matthew R. Anderson,Matthew R. Anderson,Action Horror Sci-Fi,the dead undead
Joe Marino,Piero Maggiò,Joe Marino,Joe Marino,Horror,the vatican exorcisms
Michael Curtiz,Humphrey Bogart,Conrad Veidt,Conrad Veidt,Drama Romance War,casablanca
Joel Anderson,Talia Zucker,Martin Sharpe,Martin Sharpe,Drama Horror Mystery Thriller,lake mungo
Shimit Amin,Ranbir Kapoor,Gauhar Khan,Gauhar Khan,Comedy Drama,rocket singh: salesman of the year
Douglas Trumbull,Bruce Dern,Jesse Vint,Jesse Vint,Drama Sci-Fi,silent running
John G. Avildsen,Sylvester Stallone,Carl Weathers,Carl Weathers,Drama Sport,rocky
Mona Fastvold,Christopher Abbott,Gitte Witt,Gitte Witt,Drama,the sleepwalker
John Carpenter,Jamie Lee Curtis,Janet Leigh,Janet Leigh,Fantasy Horror,the fog
Tony Richardson,Albert Finney,Hugh Griffith,Hugh Griffith,Adventure Comedy History,tom jones
Levan Gabriadze,Shelley Hennig,Heather Sossaman,Heather Sossaman,Horror Mystery Thriller,unfriended
Martin Scorsese,Robert De Niro,Peter Boyle,Peter Boyle,Crime Drama,taxi driver
Joe Dante,Patrick Macnee,Dee Wallace,Dee Wallace,Horror,the howling
Terence Young,Ursula Andress,Lois Maxwell,Lois Maxwell,Action Adventure Thriller,dr. no
Bradley Parker,Jesse McCartney,Jonathan Sadowski,Jonathan Sadowski,Horror Mystery Sci-Fi Thriller,chernobyl diaries
Clive Barker,Andrew Robinson,Clare Higgins,Clare Higgins,Fantasy Horror,hellraiser
Harold Cronk,Benjamin A. Onyango,Maria Canals-Barrera,Maria Canals-Barrera,Drama,god's not dead 2
Jeff Wadlow,Julian Morris,Lindy Booth,Lindy Booth,Drama Horror Mystery Thriller,cry_wolf
Takao Okawara,Hiroshi Abe,Sakae Kimura,Sakae Kimura,Action Adventure Drama Sci-Fi Thriller,godzilla 2000
Derek Cianfrance,Ryan Gosling,John Doman,John Doman,Drama Romance,blue valentine
Duncan Tucker,Kevin Zegers,Paul Borghese,Paul Borghese,Adventure Comedy Drama,transamerica
William Brent Bell,Fernanda Andrade,Brian Johnson,Brian Johnson,Horror,the devil inside
Russ Meyer,Charles Napier,Harrison Page,Harrison Page,Comedy Drama Music,beyond the valley of the dolls
Robert D. Webb,James Drury,Debra Paget,Debra Paget,Drama Romance Western,love me tender
Davis Guggenheim,Billy West,unknown,unknown,Documentary,an inconvenient truth
Allan Dwan,James Brown,Forrest Tucker,Forrest Tucker,Action Drama Romance War,sands of iwo jima
Martin Scorsese,Mick Jagger,Albert Maysles,Albert Maysles,Biography Documentary Music,shine a light
Eli Roth,Daryl Sabara,Magda Apanowicz,Magda Apanowicz,Adventure Horror,the green inferno
Andrew Steggall,Juliet Stevenson,Niamh Cusack,Niamh Cusack,Drama Family Romance,departure
Ben Lewin,W. Earl Brown,Rhea Perlman,Rhea Perlman,Biography Comedy Drama Romance,the sessions
Robert Kenner,Michael Pollan,Barbara Kowalcyk,Barbara Kowalcyk,Documentary,"food, inc."
Andrew Erwin,Rachel Hendrix,Jason Burkey,Jason Burkey,Drama,october baby
Brad Anderson,Philip Seymour Hoffman,Holland Taylor,Holland Taylor,Comedy Drama Romance,next stop wonderland
Jason Reitman,J.K. Simmons,Rainn Wilson,Rainn Wilson,Comedy Drama Romance,juno
Craig Johnson,Ty Burrell,Kathleen Rose Perkins,Kathleen Rose Perkins,Comedy Drama,the skeleton twins
Sean Durkin,Christopher Abbott,Brady Corbet,Brady Corbet,Drama Mystery Thriller,martha marcy may marlene
Gillian Robespierre,Gaby Hoffmann,Jake Lacy,Jake Lacy,Comedy Drama,obvious child
Courtney Hunt,Charlie McDermott,Misty Upham,Misty Upham,Crime Drama,frozen river
Morgan Neville,Sheryl Crow,Merry Clayton,Merry Clayton,Documentary Music,20 feet from stardom
James Toback,Robert Downey Jr.,Angel David,Angel David,Comedy Drama,two girls and a guy
Nicole Holofcener,Kevin Corrigan,Vincent Pastore,Vincent Pastore,Comedy Drama Romance,walking and talking
Peter Cattaneo,Tom Wilkinson,Lesley Sharp,Lesley Sharp,Comedy Drama Music,the full monty
Chris Paine,Ed Begley Jr.,Colette Divine,Colette Divine,Documentary,who killed the electric car?
Greg Berlanti,Justin Theroux,Mary McCormack,Mary McCormack,Comedy Drama Romance Sport,the broken hearts club: a romantic comedy
Don Coscarelli,Daniel Roebuck,Ella Joyce,Ella Joyce,Comedy Fantasy Mystery,bubba ho-tep
Rob Letterman,Odeya Rush,Ken Marino,Ken Marino,Adventure Comedy Family Fantasy Horror,goosebumps
Marc Levin,Sonja Sohn,Bonz Malone,Bonz Malone,Drama,slam
Richard Dutcher,Wilford Brimley,Rick Macy,Rick Macy,Crime Drama Mystery,brigham city
Khalid Mohamed,Karisma Kapoor,Jaya Bhaduri,Jaya Bhaduri,Drama Romance,fiza
Mel Brooks,Madeline Kahn,Dom DeLuise,Dom DeLuise,Comedy,history of the world: part i
Trey Parker,Trey Parker,Matt Stone,Matt Stone,Comedy Sci-Fi,orgazmo
David Gordon Green,Zooey Deschanel,Shea Whigham,Shea Whigham,Drama Romance,all the real girls
Finn Taylor,David Arquette,Kathryn Erbe,Kathryn Erbe,Comedy Drama,dream with the fishes
Karen Moncrieff,Frances Fisher,A.J. Buckley,A.J. Buckley,Drama,blue car
José Luis Valenzuela,Cheech Marin,Robert Beltran,Robert Beltran,Comedy Romance,luminarias
Gia Coppola,James Franco,Olivia Crocicchia,Olivia Crocicchia,Drama,palo alto
Scandar Copti,Shahir Kabaha,Ranin Karim,Ranin Karim,Crime Drama,ajami
Goran Dukic,Leslie Bibb,Chase Ellison,Chase Ellison,Comedy Drama Fantasy Romance,wristcutters: a love story
Mike Cahill,Steven Yeun,Venida Evans,Venida Evans,Drama Romance Sci-Fi,i origins
Efram Potelle,Shiri Appleby,Kathleen Quinlan,Kathleen Quinlan,Comedy Drama Romance,the battle of shaker heights
Peter Jackson,Michael Imperioli,Tom McCarthy,Tom McCarthy,Drama Fantasy Thriller,the lovely bones
Joshua Oppenheimer,Anwar Congo,Syamsul Arifin,Syamsul Arifin,Biography Crime Documentary History,the act of killing
Alex Gibney,Alex Gibney,Greg D'Agostino,Greg D'Agostino,Crime Documentary War,taxi to the dark side
Paul Crowder,Pelé,Ahmet Ertegun,Ahmet Ertegun,Documentary Sport,once in a lifetime: the extraordinary story of the new york cosmos
Rohit Jagessar,Kumar Gaurav,Aasheekaa Bathija,Aasheekaa Bathija,Drama,guiana 1838
Griffin Dunne,Mira Sorvino,Melissa Gilbert,Melissa Gilbert,Comedy Drama,lisa picard is famous
Anthony Powell,Josh Swanson,Anthony Powell,Anthony Powell,Adventure Biography Documentary Drama,antarctica: a year on ice
Kief Davidson,G.W. Krauss,Jason Bateman,Jason Bateman,Documentary,a lego brickumentary
Johnny Remo,Matthew Ziff,Raquel Elizabeth Ames,Raquel Elizabeth Ames,Action Drama,hardflip
Vivek Agnihotri,Emraan Hashmi,Sunil Shetty,Sunil Shetty,Thriller,chocolate: deep dark secrets
Ti West,Lena Dunham,Dee Wallace,Dee Wallace,Horror,the house of the devil
Nick Tomnay,David Hyde Pierce,Nathaniel Parker,Nathaniel Parker,Comedy Crime Thriller,the perfect host
John Hamburg,Harvey Fierstein,Josh Pais,Josh Pais,Comedy Crime,safe men
Nickolas Perry,Patrick Renna,Adrienne Frantz,Adrienne Frantz,Crime Drama Romance,speedway junky
Dan Zukovic,Yul Vazquez,James Lorinz,James Lorinz,Comedy Drama,the last big thing
Craig Mazin,Judy Greer,Jamie Kennedy,Jamie Kennedy,Action Comedy Fantasy Sci-Fi,the specials
Becky Smith,Will Rothhaar,Hallee Hirsh,Hallee Hirsh,Comedy Romance,16 to life
Eric Nicholas,Jordana Spiro,Jonathon Trent,Jonathon Trent,Crime Drama Thriller,alone with her
Benjamin Dickinson,Nora Zehetner,Meredith Hagner,Meredith Hagner,Drama Sci-Fi,creative control
Hal Haberman,Michael Rapaport,Ian Bohen,Ian Bohen,Comedy Drama Sci-Fi,special
Darren Stein,Frances Bay,Veronica Cartwright,Veronica Cartwright,Comedy Drama,sparkler
A. Raven Cruz,Scott Levy,Jennifer Sky,Jennifer Sky,Action Adventure Comedy Fantasy Sci-Fi,the helix... loaded
Brian Trenchard-Smith,David Keith,Jesse Hutch,Jesse Hutch,Action Drama,in her line of fire
Frank Whaley,Lynn Cohen,Heather Bucha,Heather Bucha,Comedy Drama,the jimmy show
Amat Escalante,Kenny Johnston,Gabriel Reyes,Gabriel Reyes,Crime Drama Romance,heli
Wajahat Rauf,Rasheed Naz,Javed Sheikh,Javed Sheikh,Comedy Family,karachi se lahore
Katherine Brooks,Ilene Graff,Laura Breckenridge,Laura Breckenridge,Drama Romance,loving annabelle
David Cross,Jason Ritter,Amy Sedaris,Amy Sedaris,Comedy Drama,hits
Randall Rubin,Nicole Randall Johnson,James Eckhouse,James Eckhouse,Crime Drama Thriller,jimmy and judy
Robert Bennett,Randy Wayne,Alicia Ziegler,Alicia Ziegler,Comedy,frat party
Guy Hamilton,Oliver Reed,Louise Sorel,Louise Sorel,Drama,the party's over
Mary Pat Kelly,Aidan Quinn,Janet Hubert,Janet Hubert,Drama,proud
Lori Petty,Jennifer Lawrence,Bokeem Woodbine,Bokeem Woodbine,Drama,the poker house
Charlie Levi,Joe Mantegna,Diane Venora,Diane Venora,Drama,childless
Kevin Hamedani,Russell Hodgkinson,Kevin Hamedani,Kevin Hamedani,Comedy Horror Sci-Fi,zmd: zombies of mass destruction
David DeCoteau,Maureen McCormick,Tim Abell,Tim Abell,Horror,snow white: a deadly summer
Mikel Rueda,Álex Angulo,Joseba Ugalde,Joseba Ugalde,Drama Romance,hidden away
Stefan C. Schaefer,Nicole Beharie,Reg E. Cathey,Reg E. Cathey,Comedy Drama Romance,my last day without you
Michael Taliferro,Wesley Jonathan,Chrystee Pharris,Chrystee Pharris,Comedy Music,steppin: the movie
David DeCoteau,William McNamara,Randy Jay Burrell,Randy Jay Burrell,Western,doc holliday's revenge
Katie Aselton,Katie Aselton,Jay Paulson,Jay Paulson,Horror Thriller,black rock
Robert Heath,David Oakes,Jennie Jacques,Jennie Jacques,Horror Mystery,truth or die
D. Stevens,Magi Avila,Summer Napoles,Summer Napoles,Drama Thriller,the pet
